period,feature,psi,ks,band,rows_reference,rows_current,low_confidence,missing_reference,missing_current,missing_change
2018-07,C12,0.04781866354954669,0.08564000000000005,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C13,0.02315241510284842,0.06438000000000005,stable,472432,78430,False,0.0,0.0,0.0
2018-07,C14,0.006285335341102608,0.032299999999999995,stable,472432,78430,False,0.0,0.0,0.0
2018-07,D1,0.026973657582624055,0.07856000000000002,stable,471496,78014,False,0.0019812375114302166,0.005304092821624379,0.003322855310194162
2018-07,D2,0.019091298993643015,0.06853254249291785,stable,241169,45184,False,0.4895159515020151,0.4238939181435675,-0.06562203335844757
2018-07,D3,0.0009673100220359144,0.008211340878963969,stable,254780,49035,False,0.4607054560233007,0.3747928088741553,-0.08591264714914543
2018-07,D4,0.056170891965881986,0.1005600000000001,stable,332658,62313,False,0.29586056829342633,0.20549534616855794,-0.09036522212486839
2018-07,D5,0.0027686806000632577,0.01370539483902461,stable,218587,45069,False,0.5373154231720121,0.4253601938033916,-0.11195522936862051
2018-07,D6,0.028049354218363187,0.10327140065146578,stable,58483,8903,False,0.8762086395502422,0.8864847634833609,0.01027612393311872
2018-07,D7,0.02786569620981489,0.06883178018979275,stable,29944,5707,False,0.9366173332881769,0.9272344766033406,-0.009382856684836294
2018-07,D8,0.019196647305340295,0.04563432098765435,stable,61610,8100,False,0.8695896975649405,0.8967231926558715,0.027133495090930992
2018-07,D9,0.011851514390667795,0.028788888888888864,stable,61610,8100,False,0.8695896975649405,0.8967231926558715,0.027133495090930992
2018-07,D10,0.045368902763231606,0.08830000000000005,stable,406041,72636,False,0.1405302773732516,0.07387479280887416,-0.06665548456437745
2018-07,D11,0.09213392604172546,0.10265999999999997,stable,226459,57255,False,0.5206527076912656,0.2699859747545582,-0.2506667329367074
2018-07,D12,0.025783731533402795,0.07842615071283099,stable,52703,7856,False,0.8884432045246723,0.8998342470993242,0.011391042574651955
2018-07,D13,0.012549121083661578,0.06626052095587043,stable,48973,7955,False,0.8963385206759915,0.8985719750095627,0.0022334543335711388
2018-07,D14,0.01576300253727407,0.06371872246861299,stable,49836,7638,False,0.8945118027567989,0.9026137957414255,0.00810199298462666
2018-07,D15,0.09200389917750856,0.12934,stable,394667,72715,False,0.1646056998679175,0.07286752518169068,-0.09173817468622683
2018-07,id_01,0.07361199092377689,0.12029252817815428,stable,120464,14639,False,0.7450130389135368,0.8133494836159633,0.0683364447024265
2018-07,id_02,0.06136382554969606,0.08872857785272625,stable,117683,14232,False,0.750899600365767,0.8185388244294275,0.06763922406366052
2018-07,id_03,0.009108120586621285,0.0074350295857988176,stable,54090,7436,False,0.8855073322721577,0.9051893408134642,0.019682008541306528
2018-07,id_04,,0.014429349112426035,unknown,54090,7436,False,0.8855073322721577,0.9051893408134642,0.019682008541306528
2018-07,id_05,0.0315929316721754,0.039228288404859465,stable,114487,13911,False,0.7576645951163342,0.8226316460538059,0.06496705093747168
2018-07,id_06,0.0166673945799621,0.06796885342534686,stable,114487,13911,False,0.7576645951163342,0.8226316460538059,0.06496705093747168
2018-07,id_07,,,unknown,4261,528,True,0.990980712568158,0.9932678821879383,0.0022871696197802605
2018-07,id_08,,,unknown,4261,528,True,0.990980712568158,0.9932678821879383,0.0022871696197802605
2018-07,id_09,0.009119676947089721,0.009969382716049384,stable,61610,8100,False,0.8695896975649405,0.8967231926558715,0.027133495090930992
2018-07,id_10,,0.016363456790123455,unknown,61610,8100,False,0.8695896975649405,0.8967231926558715,0.027133495090930992
2018-07,id_11,,0.015365786659161274,unknown,117796,14212,False,0.7506604125038101,0.8187938288920056,0.06813341638819548
2018-07,id_13,2.760290094186216,0.5165097655736508,significant,105170,13693,False,0.7773859518406881,0.8254111946959072,0.04802524285521903
2018-07,id_14,0.010400310213617666,0.0348168215305969,stable,68217,6651,False,0.8556046161140651,0.9151982659696545,0.05959364985558935
2018-07,id_17,0.03719415956724757,0.0875110768793923,stable,116685,14087,False,0.753012073695262,0.8203876067831187,0.06737553308785671
2018-07,id_18,0.0572504021978122,0.08633319267266093,stable,37422,5379,False,0.920788600264165,0.9314165497896213,0.010627949525456315
