n_flagged,review_rate,threshold,frauds_caught,frauds_missed,false_alarms,recall,precision,cost_missed,cost_caught,cost_false_alarm,total_cost,savings
2183,0.018483083279710096,0.4078912516390829,1683.0,2381.0,500.0,0.4141240157480315,0.7709573980760421,470726.6889999926,30812.76469999994,2500.0,504039.45369999256,207494.88229999953
2242,0.018982626071053613,0.38916352852801495,1708.0,2356.0,534.0,0.4202755905511811,0.7618198037466548,466998.49099999265,31285.58449999994,2670.0,500954.0754999926,210580.2604999995
2301,0.019482168862397127,0.37559495155536204,1739.0,2325.0,562.0,0.42790354330708663,0.7557583659278575,463017.6399999927,31807.669599999936,2810.0,497635.3095999926,213899.0263999995
2360,0.019981711653740644,0.35977859091672676,1764.0,2300.0,596.0,0.4340551181102362,0.747457627118644,457885.29999999265,32420.90359999994,2980.0,493286.2035999926,218248.13239999948
2419,0.02048125444508416,0.3489729966206367,1785.0,2279.0,634.0,0.4392224409448819,0.7379082265398925,453922.49599999265,32901.183999999936,3170.0,489993.6799999926,221540.6559999995
2478,0.020980797236427675,0.33380410546725753,1806.0,2258.0,672.0,0.44438976377952755,0.7288135593220338,450911.63999999256,33286.26959999994,3360.0,487557.9095999925,223976.4263999996
2537,0.021480340027771192,0.32071356588840605,1830.0,2234.0,707.0,0.45029527559055116,0.7213243988963343,445606.85499999265,33912.74809999994,3535.0,483054.6030999926,228479.73289999948
2596,0.02197988281911471,0.3070228159632056,1856.0,2208.0,740.0,0.4566929133858268,0.7149460708782742,440391.8469999926,34538.24889999994,3700.0,478630.09589999256,232904.24009999953
2655,0.022479425610458223,0.29664904622368726,1885.0,2179.0,770.0,0.4638287401574803,0.7099811676082862,433728.6189999926,35320.57169999994,3850.0,472899.1906999926,238635.1452999995
2714,0.02297896840180174,0.2873867904949693,1904.0,2160.0,810.0,0.468503937007874,0.7015475313190862,429458.86199999263,35823.54739999994,4050.0,469332.40939999255,242201.92659999954
2773,0.023478511193145257,0.2780995215704024,1921.0,2143.0,852.0,0.47268700787401574,0.6927515326361342,427905.11699999264,36046.92189999994,4260.0,468212.0388999926,243322.2970999995
2832,0.023978053984488774,0.2673876869976409,1942.0,2122.0,890.0,0.4778543307086614,0.6857344632768362,424056.8739999926,36515.746199999936,4450.0,465022.62019999255,246511.71579999954
2891,0.024477596775832288,0.2577292927833531,1960.0,2104.0,931.0,0.4822834645669291,0.6779661016949152,421098.6529999926,36883.56829999994,4655.0,462637.2212999925,248897.11469999957
2950,0.024977139567175805,0.24879684305461391,1971.0,2093.0,979.0,0.484990157480315,0.668135593220339,418803.7979999926,37157.053799999936,4895.0,460855.85179999255,250678.48419999954
3009,0.025476682358519322,0.24024283075907638,1989.0,2075.0,1020.0,0.4894192913385827,0.6610169491525424,415514.13799999264,37558.01979999994,5100.0,458172.1577999926,253362.1781999995
3068,0.025976225149862836,0.2332299149938622,2000.0,2064.0,1068.0,0.4921259842519685,0.651890482398957,413985.9589999927,37754.83769999993,5340.0,457080.7966999926,254453.53929999948
3127,0.026475767941206353,0.22655093248583655,2016.0,2048.0,1111.0,0.49606299212598426,0.6447073872721458,411963.9709999927,38021.03649999993,5555.0,455540.0074999926,255994.32849999948
3186,0.02697531073254987,0.22005156676612245,2036.0,2028.0,1150.0,0.5009842519685039,0.6390458254865035,407512.8839999926,38546.14519999994,5750.0,451809.02919999254,259725.30679999955
3245,0.027474853523893384,0.21275169071580732,2045.0,2019.0,1200.0,0.5031988188976378,0.6302003081664098,406671.55199999263,38666.27839999994,6000.0,451337.8303999926,260196.5055999995
3304,0.0279743963152369,0.2076978274252555,2058.0,2006.0,1246.0,0.5063976377952756,0.6228813559322034,404697.13299999264,38915.72029999994,6230.0,449842.85329999257,261691.48269999953
3363,0.02847393910658042,0.2011774712975261,2074.0,1990.0,1289.0,0.5103346456692913,0.6167112696996729,403020.6509999926,39147.36849999994,6445.0,448613.01949999254,262921.31649999955
3422,0.028973481897923935,0.19685630496412343,2083.0,1981.0,1339.0,0.5125492125984252,0.608708357685564,401964.9279999926,39288.94079999994,6695.0,447948.86879999255,263585.46719999955
3481,0.02947302468926745,0.19141582521332368,2092.0,1972.0,1389.0,0.514763779527559,0.6009767308244758,399511.1779999926,39570.31579999994,6945.0,446026.49379999255,265507.84219999955
3540,0.029972567480610966,0.18598733928454053,2105.0,1959.0,1435.0,0.5179625984251969,0.594632768361582,396644.52699999267,39908.98089999994,7175.0,443728.50789999263,267805.82809999946
3599,0.030472110271954483,0.1817782795481183,2122.0,1942.0,1477.0,0.5221456692913385,0.5896082245068075,394023.1819999926,40239.115399999944,7385.0,441647.29739999253,269887.03859999956
3658,0.030971653063297997,0.1769199045393078,2134.0,1930.0,1524.0,0.5250984251968503,0.5833788955713505,391591.5779999925,40530.275799999945,7620.0,439741.8537999925,271792.4821999996
3717,0.03147119585464152,0.17286898438414958,2151.0,1913.0,1566.0,0.5292814960629921,0.5786924939467313,386458.39699999255,41111.59389999995,7830.0,435399.9908999925,276134.34509999957
3776,0.03197073864598503,0.16894664785649113,2162.0,1902.0,1614.0,0.531988188976378,0.5725635593220338,384609.55899999256,41340.477699999945,8070.0,434020.0366999925,277514.2992999996
3835,0.032470281437328545,0.16462358447622785,2172.0,1892.0,1663.0,0.5344488188976378,0.5663624511082138,383074.95199999254,41533.93839999995,8315.0,432923.89039999247,278610.4455999996
3894,0.03296982422867206,0.1612657636159809,2191.0,1873.0,1703.0,0.5391240157480315,0.5626605033384694,379467.9179999926,41970.64179999994,8515.0,429953.55979999254,281580.77619999956
3953,0.03346936702001558,0.15719848353712648,2204.0,1860.0,1749.0,0.5423228346456693,0.5575512269162661,376646.60699999257,42304.772899999945,8745.0,427696.3798999925,283837.9560999996
4012,0.033968909811359096,0.15372425619513802,2218.0,1846.0,1794.0,0.5457677165354331,0.5528414755732801,374203.6799999925,42605.06559999995,8970.0,425778.74559999246,285755.59039999964
4071,0.034468452602702614,0.1503581268393233,2222.0,1842.0,1849.0,0.546751968503937,0.5458118398427905,373111.0179999925,42730.331799999956,9245.0,425086.3497999924,286447.9861999997
4130,0.034967995394046124,0.14716652173791214,2239.0,1825.0,1891.0,0.5509350393700787,0.5421307506053269,368535.5149999925,43255.88209999995,9455.0,421246.39709999243,290287.93889999966
4189,0.03546753818538964,0.14376528032392685,2251.0,1813.0,1938.0,0.5538877952755905,0.5373597517307234,366047.6869999925,43552.66489999995,9690.0,419290.3518999925,292243.9840999996
4248,0.03596708097673316,0.14102335944875724,2267.0,1797.0,1981.0,0.5578248031496063,0.533662900188324,361352.0139999925,44086.23219999995,9905.0,415343.2461999925,296191.0897999996
4307,0.036466623768076675,0.13795343011526334,2279.0,1785.0,2028.0,0.5607775590551181,0.5291386115625726,359809.6949999925,44288.464099999954,10140.0,414238.1590999925,297296.1768999996
4366,0.03696616655942019,0.13547541138356767,2285.0,1779.0,2081.0,0.562253937007874,0.5233623453962437,357704.6949999925,44522.964099999954,10405.0,412632.6590999925,298901.6768999996
